X Field,X軸欄位
Soil Type,土壤類型
Soil Texture,土壤質地
Soil Texture Criteria,土壤質地標準
IN,包括
In,包括
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在&lt;head&gt;在頭部分區已新增HTML網頁，主要用於網站的驗證和搜尋引擎最佳化
Process Attendance After,在...之後處理出勤
Duplicate customer group found in the cutomer group table,在CUTOMER組表中找到重複的客戶群
Setup your Institute in ERPNext,在ERPNext中設定您的研究所
Enable Google API in Google Settings.,在Google設定中啟用Google API。
Can not find UIDVALIDITY in imap status response,在IMAP狀態響應找不到UIDVALIDITY
Client side script extensions in Javascript,在JavaScript用戶端腳本擴展
Rented in Metro City,在Metro City租用
Cannot use sub-query in order by,在order by語句中不能使用子查詢
Insert Column Before {0},在{0}之前插入列
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",在{0}之前，休假不能創建或取消，因為休假天數已經被結轉到未來的休假分配中{1}
Batch is mandatory in row {0},在{0}行中必須使用批處理
The holiday on {0} is not between From Date and To Date,在{0}這個節日之間不在開始日期和結束日期之間
{0} applicable after {1} working days,在{1}個工作日後適用{0}
Supplier {0} not found in {1},在{1}中找不到供應商{0}
Find {0} in {1},在{1}中找到{0}
Another Period Closing Entry {0} has been made after {1},{1} 後已存在另一張期末結帳憑證 {0}
Created Custom Field {0} in {1},在{1}創建了自訂欄位{0}
in the Auto Repeat document,在“自動重複”單據中
Open a dialog with mandatory fields to create a new record quickly,在一個只包括必填欄位的彈出對話框快速創建新單據
The time after the shift start time when check-in is considered as late (in minutes).,在上班時間之後簽到被視為遲到（以分鐘為單位）。
Insert Above,在上面插入
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",在為子公司{0}創建科目時，找不到父(上級)科目{1}。請在相應的科目表中創建父科目
Add cards or custom sections on homepage,在首頁上新增卡片或自訂欄目
Something went wrong during the token generation. Click on {0} to generate a new one.,在令牌生成期間出了點問題。單擊{0}以生成新的。
Leave Approver Mandatory In Leave Application,在休假申請中休假審批人欄位必填
Under Warranty,在保固期內
Currency of the Closing Account must be {0},在關閉科目的貨幣必須是{0}
Rows with duplicate due dates in other rows were found: {list},在其他行中找到具有重複到期日的行：{list}
Please save before assigning task.,在分配任務之前請保存。
In List View,在列表視圖中顯示
Work In Progress,在製品
WIP Warehouse,在製品倉
Work-in-Progress Warehouse,在製品倉
Available Qty at WIP Warehouse,在製品倉可用數量
Material Transferred for Manufacturing,發料數量(成品套數)
Work Orders in Progress,在制生產工單
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),在單據列表或子表單列表中所占列數（合計列數應小於11）
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),在單據列表或子表單列表中所占列數（合計列數應小於11）
Add custom field Auto Repeat in the doctype {0},在單據類型{0}中新增自訂欄位自動重複
Search in a document type,在單據類型中搜索
Publish in Hub,發布到集市(Hub)網站
Import Delivery Notes from Shopify on Shipment,在發貨時從Shopify匯入出貨單
Please enter message before sending,在發送前，請填寫留言
Work Order {0} must be cancelled before cancelling this Sales Order,在取消此銷售訂單之前，必須先取消工單{0}
Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,在取消訂閱或將訂閱標記為未付之前，發票日期之後的天數已過
Alternating entries as IN and OUT during the same shift,在同一班次期間交替簽到和簽退
Always synch your products from Amazon MWS before synching the Orders details,在同步訂單詳細資訊之前，始終從亞馬遜MWS同步您的產品
Insert After,在後面插入
Insert After cannot be set as {0},在後面插入不能設定為{0}
Please enter Client ID before social login is enabled,在啟用社交登錄之前，請輸入用戶端ID
Please enter Client Secret before social login is enabled,在啟用社交登錄之前，請輸入用戶端密碼
Apply Rule On Brand,在品牌上應用規則
Work From Home,在家工作
Cancel Invoice After Grace Period,在寬限期後取消發票
"Include symbols, numbers and capital letters in the password",在密碼中加入符號，數字和大寫字母
Under AMC,有年度維保養契約
This goes above the slideshow.,在幻燈片上面。
Open your authentication app on your mobile phone.,在手機上打開授權認證應用程式。
Show Inclusive Tax In Print,在列印中顯示包含稅
Show PDC in Print,在列印中顯示部分支付
Hide field in Report Builder,在報表生成器隱藏欄位
Customers in Queue,在排隊的客戶
Enter the name of the Beneficiary before submittting.,在提交之前輸入受益人的姓名。
Enter the name of the bank or lending institution before submittting.,在提交之前輸入銀行或借款機構的名稱。
Enter the Bank Guarantee Number before submittting.,在提交之前輸入銀行擔保號。
Type something in the search box to search,在搜尋框中輸入一些文字開始搜尋
Receive at Warehouse Entry,在收貨區收料
Maintain same rate throughout purchase cycle,整個採購循環(流程)使用相同價格
Maintain Same Rate Throughout Sales Cycle,在整個銷售循環(流程)使用相同價格
"Edit in full page for more options like assets, serial nos, batches etc.",在整頁上編輯更多的選項，如資產，序號，批號等。
Edit in Full Page,在整頁編輯
No data found in the file. Please reattach the new file with data.,在文件中找不到資料。請用資料重新新增新文件。
Show Leaves Of All Department Members In Calendar,在日曆中顯示部門所有成員的休假
POS Closing Voucher alreday exists for {0} between date {1} and {2},在日期{1}和{2}之間存在POS結算憑證alreday {0}
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)",在有效的方法如：“before_insert”，“after_update”觸發（取決於所選的單據類型）
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,在伺服器上保留QR碼圖像的秒數。最小： <strong>240</strong>
Generate Invoice At Beginning Of Period,在期初生成發票
Cancel At End Of Period,訂閱期結束後自動取消訂閱
Unable to find Time Slot in the next {0} days for Operation {1},在未來{0}天，無可用時間（檔期）完成工序{1}
Plan material for sub-assemblies,子裝配件作為虛擬物料，本工單直接耗用底層原材料
Hide field in Standard Print Format,在標準列印格式隱藏欄位
Show a description below the field,在此欄位下顯示說明
Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,在此期間，總分配的離職時間超過員工{1}的最大分配{0}離職類型的天數
View report in your browser,在瀏覽器中查看報表
Login and view in Browser,在瀏覽器中登錄和查看
View it in your browser,在瀏覽器查看
View this in your browser,在瀏覽器查看
Item {0} has no Serial No. Only serilialized items can have delivery based on Serial No,在物料主資料中物料{0}被定義為無序號，啟用序號管理的物料才可勾選“綁定工單入庫序號出庫”，而在物料主資料中沒勾選“啟用序號管理”
Rename Attribute Value in Item Attribute.,在物料屬性中重命名屬性值。
Apply Rule On Item Group,在物料組上應用規則
Duplicate item group found in the item group table,在物料組中有重複物料組
List of diseases detected on the field. When selected it'll automatically add a list of tasks to deal with the disease ,在現場檢測到的病蟲害清單。當選擇它會自動新增一個任務清單處理病蟲害
Separate course based Group for every Batch,在班級中按批報課
In Production,在生產中
Something went wrong while generating dropbox access token. Please check error log for more details.,在生成dropbox訪問令牌時發生錯誤。請檢查錯誤日誌以獲取更多詳細資訊。
Write a Python file in the same folder where this is saved and return column and result.,在相同的目錄下建立一個返回列和結果的Python文件。
Use POS in Offline Mode,在離線模式下使用POS
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}",在第{0}行，需要倉庫，請為公司{2}的物料{1}設定默認倉庫
Set Start Time and End Time for  \					Support Day {0} at index {1}.,在索引{1}處為\支持日{0}設定開始時間和結束時間。
Set Response Time and Resolution for Priority {0} at index {1}.,在索引{1}處設定優先度{0}的反應時間和解析度。
Online,在線上
Print Format for Online,在線列印格式
No active or default Salary Structure found for employee {0} for the given dates,在給定日期員工{0}沒有分配薪資結構
You must Save the form before proceeding,在繼續之前，您必須保存表單
In Maintenance,在維護中
Show In Website,在網站上展示
Show in Website (Variant),在網站上展示（規格）
Show on Website,在網站上顯示
List this Item in multiple groups on the website.,在網站上的多個組中顯示此物料
Short biography for website and other publications.,在網站或其他出版物使用的個人簡介
Products to be shown on website homepage,在網站首頁中顯示的產品
Number Of Employees,在職員工人數
Hide footer in auto email reports,在自動電子郵件報表中隱藏頁尾
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",在自訂欄位“{1}”中參照的標題為“{2}”欄位“{0}”不存在
"Item Code, warehouse, quantity are required on row",在行上需要物料號，倉庫，數量
Allow events in timeline,在表單下方的日誌記錄區啟用事件追蹤功能
Hide field in form,在表單中隱藏欄位
In Grid View,在表格視圖中顯示
Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),在記帳時間點憑證（{2} {3}）第{0}行，倉庫{1}物料{4}無可用數量
People who teach at your organisation,在貴組織中做教育培訓的人
Set {0} in asset category {1} or company {2},在資產類別{1}或公司{2}中設定{0}
Show in filter,在過濾條件中顯示
Atleast one item should be entered with negative quantity in return document,在退貨憑證中至少一個物料的數量應該是負數
Please select Posting Date before selecting Party,在選擇往來單位之前請先選擇記帳日期
In Transit,在途中
Goods In Transit,在途物料
Stock Received But Not Billed,暫估庫存(已收貨，未開票)
"Ordered Qty: Quantity ordered for purchase, but not received.",在途訂單數量：已下採購訂單尚未收貨的數量。
Asset Received But Not Billed,暫估資產（已收貨，未開票）
Capital Work in Progress,在建工程
CWIP Account,在建工程科目
Capital Work In Progress Account,在建工程科目
Show Title in Link and Table MultiSelect Field,在連結和多選欄位顯示標題欄位值
Hide Customer's Tax Id from Sales Transactions,在銷售交易單據上隱藏客戶納稅登記號
Create Lab Test(s) on Sales Invoice Submit,在銷售發票上創建化驗提交
Show a slideshow at the top of the page,在頁面頂部顯示幻燈片
Show this slideshow at the top of the page,在頁面頂部顯示此幻燈片
Include Search in Top Bar,在頂欄新增搜索框
Update Consumed Material Cost In Project,在專案中更新物料消耗成本
Email not found in default contact,在默認聯絡人中找不到電子郵件
Address,地址
Addresses,地址
Address HTML,地址HTML
Address And Contacts,地址與聯絡人
Address And Contacts,地址與聯絡人
Address Desc,地址倒序
Address & Contact,地址及聯絡方式
Address & Contacts,地址及聯絡方式
Address Name,地址名稱
Address Title,地址名稱
Address Title is mandatory.,地址名稱是必填項。
Address and other legal information you may want to put in the footer.,地址和其他法律資訊最好放進頁尾。
Address and Contact,地址和聯絡方式
Address and Contacts,地址和聯絡方式
Addresses And Contacts,地址和聯絡方式
Address Template,地址模板
There is an error in your Address Template {0},地址模板有一個錯誤{0}
Address Type,地址類型
Location,地點
PLACES,地點
Location / Device ID,地點/設備號
Location Name,地點名稱
Location Details,地點詳情
Geolocation,地理位置
Geolocation,地理位置
Average Rate,均價
Load Balancing,均衡分派
Trash,垃圾
trash,垃圾
Spam,垃圾郵件
Model,型號
City,城市
Domains HTML,域名HTML
Training,培訓
Training Event,培訓
Training Events,培訓
Trainings,培訓
Training Feedback,培訓回饋
Event Name,培訓名稱
Academics User,培訓教管
Training Date,培訓日期
Education Manager,培訓經理
Training Result,培訓結果
Training Program,培訓計劃
Based On,基於
based_on,基於
Create Chart Of Accounts Based On,科目表模板
Set rate of sub-assembly item based on BOM,子裝配件物料單價取其BOM成本
Fetch based on FIFO,基於FIFO獲取
HSN-wise-summary of outward supplies,基於HSN的外部供應摘要
Reconciliation JSON,基於JSON格式對帳
"Filtered by ""{0}""",基於“{0}”過濾
Stats based on last month's performance (from {0} to {1}),基於上個月表現的統計資料（從{0}到{1}）
Stats based on last week's performance (from {0} to {1}),基於上週表現的統計資料（從{0}到{1}）
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",基於倉庫中的庫存，在集市(Hub)網站上發布“庫存”或“庫存”。
Reorder level based on Warehouse,基於倉庫的重訂貨點
Depends on Payment Days,基於付款天數
Based On Payment Terms,顯示付款計劃明細
Based on price list,基於價格表
Coupon Code Based,基於優惠碼
This is based on transactions against this Supplier. See timeline below for details,基於供應商的過往交易。詳情請參閱表單下方日誌記錄
Automatically Set Serial Nos based on FIFO,基於先進先出自動帶出序號
On Net Total,基於淨總計
Columns based on,基於列
On Previous Row Total,基於前一行的總計
On Previous Row Amount,基於前一行的金額
Email By Document Field,收件人(單據欄位)
Setup Notifications based on various criteria.,基於各種標準的設定通知。
Discount (%) on Price List Rate with Margin,基於含上浮標價的折扣（％）
This is based on transactions against this Customer. See timeline below for details,基於客戶的過往交易。詳情請參閱表單下方日誌記錄
Salary Slip Based on Timesheet,基於工時表
Backflush raw materials from work-in-progress warehouse,從在製品倉耗用(倒扣帳)原材料
Variable Based On Taxable Salary,基於應納稅工資的變數
Bank Statement balance as per General Ledger,總帳銀行餘額
Qty of raw materials will be decided based on the qty of the Finished Goods Item,基於成品數量計算原材料數量
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,基於成本中心過濾僅適用於維護了預算成本中心的情況
Salary breakup based on Earning and Deduction.,基於收入和扣除的工資資訊。
Depends on Leave Without Pay,基於無薪休假
Time Series Based On,時間跨度欄位
Discount on Price List Rate (%),基於標價的折扣（％）
Make project from a template.,基於模板創建專案。
This is based on transactions against this Subscriber. See timeline below for details,基於此訂閱者的交易。詳情請參閱表單下方日誌記錄
Select students manually for the Activity based Group,基於活動創建班級，請手動新增學生
On Item Quantity,基於物料數量
From BOM,基於物料清單
Territory Target Variance Based On Item Group,分區域物料組業績達成分析
Sales Person Target Variance Based On Item Group,業務員物料組業績達成分析
Manufacture against Material Request,基於物料需求生產
Based on Permissions For User,基於用戶權限
This is based on transactions against this Patient. See timeline below for details,基於病人的相關業務。詳情請參閱表單下方日誌記錄
Pay Against Benefit Claim,基於福利申請付款
This is based on transactions against this Sales Person. See timeline below for details,基於該業務員經手交易量，詳情請參閱表單下方日誌記錄
This is based on the attendance of this Employee,基於該員工的考勤
This is based on the attendance of this Student,基於該學生的考勤
This is based on logs against this Vehicle. See timeline below for details,基於車輛加油/保養記錄。詳情請參閱表單下方日誌記錄
Set Qty in Transactions Based on Serial No Input,根據輸入的序號個數自動填寫數量
Return Against Purchase Invoice,源採購發票
Quantity  that must be bought or sold per UOM,以指定包裝單位採購或銷售，即訂單數量須是包裝數量的倍數，價格才生效
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,基於採購入庫資訊計算的總稅費必須與採購單（單頭）的總稅費一致
How often should project and company be updated based on Sales Transactions.,基於銷售交易更新專案和公司統計資訊的頻率
Return Against Delivery Note,源銷售出庫
Return Against Sales Invoice,源銷售發票
This is based on the Time Sheets created against this project,基於專案工時表
Fetch items based on Default Supplier.,基於默認供應商選物料
Base Hour Rate(Company Currency),基準工費率（本幣）
Basic,基本的
Base Distinguished Name (DN),基本專有名稱（DN）
Base,基本
Basic Component,基本組件
Base URL,基本網址
Basic Amount,基準金額
Base Amount (Company Currency),金額（本幣）
Basic Amount (Company Currency),金額（本幣）
Base DocType,基礎單據類型
Utility Expenses,基礎設施費用
Cess,塞斯
Fill Screen,填充螢幕
Fill the form and save it,填寫表格並保存
Rows Added in Exploded Items,增加的下層物料行
Rows Added in Items,增加的物料行
Taxes and Charges Added,稅費
Taxes and Charges Added (Company Currency),稅費（本幣）
Add Contact,增加聯絡人
Rules for adding shipping costs.,增加運輸成本的規則。
Increment,增量
Increment cannot be 0,增量不能為0
Increment for Attribute {0} cannot be 0,增量屬性{0}不能為0
Loam,壤土
Declarations,聲報
Prescription,處方
Prescriptions,處方
Prescription Duration,處方時間
Prescription Dosage,處方用量
Processing,處理
Processing...,處理...
Error while processing deferred accounting for {0},處理{0}的延遲記帳時出錯
Ongoing,處理中
Working,處理中
Process Master Data,處理主資料
Processing Vouchers,處理優惠券
Processing Chart of Accounts and Parties,處理會計科目和締約方
Processing Party Addresses,處理方地址
Process Day Book Data,處理日書資料
Processing Items and UOMs,處理物料和單位
Disposal Date,處置日期
Backup,備份
Backups,備份
Backup job is already queued. You will receive an email with the download link,備份作業已經排隊。您將收到一封包含下載連結的電子郵件
Backup Size:,備份大小：
Send Email for Successful Backup,備份成功後發電子郵件
Number of Backups,備份數量
Download link for your backup will be emailed on the following email address: {0},備份的下載連結將被發送至以下電子郵件地址：{0}
Backup Limit,備份限制
Backup Frequency,備份頻率
Remark,備註
Remarks,備註
Notes,備註
Note,備註
Note:,備註：
Alternate Number,備用號碼
Duplicate,複製
Duplicate entry,複製
Duplicate,複製
Copied to clipboard.,複製到剪貼板。
To make recurring documents,自動重複單據
Copied From,複製自
Relapsed,復發
Relapses,復發
Compound,複合
Role Profile,崗位
Sub-contracting,委外
Subcontract,委外
Raw Materials Supplied Cost,委外原材料成本
Send to Subcontractor,委外發料
Subcontracted Item,委外物料
Backflush Raw Materials of Subcontract Based On,委外入庫原材料扣帳方式
Purchase Receipt Item Supplied,委外訂單外發物料
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,委外採購入庫必須指定委外倉
Reserved Qty for sub contract,委外預留數量
Reserved for Sub Contracting,委外預留數量
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,委外預留數量：為委外訂單預留的原材料數量。
Raw Materials Consumed,外發原材料
SMTP Settings for outgoing emails,外發郵件的SMTP設定
"Outward taxable supplies(other than zero rated, nil rated and exempted",外向應稅供應品（零稅率，零稅率和豁免除外）
Outward taxable supplies(zero rated),外向應稅物資（零評級）
Currency Exchange,外幣匯率
Currency Exchange must be applicable for Buying or for Selling.,外幣匯率必須適用於買入或賣出。
Currency Exchange Settings,外幣匯率設定
Foreign Trade Details,外貿資訊
External Work History,外部就職經歷
Multiple Variants,多個多規格物料
Multiple Correct Answer,多個正確的答案
Multiple Item prices.,多個物料的價格。
Cross Listing of Item in multiple groups,多個組物料交叉顯示
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,多個財年的日期{0}存在。請設定公司財年
Operation completed for how many finished goods?,多少成品工序已完成？
1 Loyalty Points = How much base currency?,多少錢積1分
For how much spent = 1 Loyalty Point,多少錢積1分
Multi Currency,多貨幣
Perennial,多年生
Multiple Tier Program,多等級積分方案
Item Variant,多規格物料
Variant,多規格物料
Variants,多規格物料
Item Variants,多規格物料-多規格物料
Item Variants {0} updated,多規格物料{0}已更新
Variant Based On,多規格物料基於
Variant Field,多規格物料欄位
Item Variants updated,多規格物料已更新
Item Template,多規格物料模板
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',多規格物料的默認單位“{0}”必須與模板物料默認單位一致“{1}”
Item Variant Details,多規格物料清單
Variant Details Report,多規格物料清單報表
Working Hours Threshold for Absent,多長時間未到視同缺勤
Large,大
Great/Quickly,大/快速
Messages greater than 160 characters will be split into multiple messages,超過160字元的消息將被分割為多條消息
Greater Than Amount,大於金額
Constipated,大便乾燥
UPPER CASE,大寫字母
UPPERCASE,大寫字母
In Words,大寫金額
In Words will be visible once you save the Quotation.,大寫金額將在報價單保存後顯示。
In Words will be visible once you save the Purchase Order.,大寫金額將在採購訂單保存後顯示。
In Words will be visible once you save the Delivery Note.,大寫金額將在銷售出庫保存後顯示。
In Words will be visible once you save the Sales Invoice.,大寫金額將在銷售發票保存後顯示。
In Words will be visible once you save the Sales Order.,大寫金額將在銷售訂單保存後顯示。
In Words (Company Currency),大寫金額（本幣）
In Words (Export) will be visible once you save the Delivery Note.,大寫金額（匯出）將在銷售出庫保存後顯示。
Size,大小
Day,天
In Days,天數
Days Before or After,天數(前或後)
Day(s) after invoice date,發票日 + 授信天數
Validity in Days,天數有效
Day(s) after the end of the invoice month,發票月底 + 授信天數
Weather,天氣
Weather Parameter,天氣參數
Natural Gas,天然氣
Too many columns. Export the report and print it using a spreadsheet application.,太多的列。匯出報表，並使用電子表格應用程式進行列印。
Mrs,太太
Madam,夫人
Lost Opportunity,未成交商機
Inactive,失效
End of Life,失效日期
Expiry Date,失效日期
Valid Upto ,失效日期
Expiration time,失效時間
Fail,失敗
Failed,失敗
Header,頭
Headers,頭
Avatar,頭像
headphones,頭戴耳機
Bonus Payment Date,獎金支付日期
Bonus Payment Date cannot be a past date,獎金支付日期不能是過去的日期
Bonus Amount,獎金金額
Odisha,奧里薩邦
Female,女
Ms,女士
Good/Steady,好/穩定
"e.g. ""Primary School"" or ""University""",如“小學”或“大學”
Check if material transfer entry is not required,如不需從工單觸發工單發料，請勾選
Mention if non-standard payable account,如使用非標準應付科目，請在這裡指定
 Tax Exemption Declaration will be considered for income tax calculation.,如勾選，個稅計算時將扣除申報的免稅金額
"If enabled, then system will create the material even if the raw materials are available",如勾選，則即使有可用原材料，系統也會生成物料需求(需求)
"If enabled, system will create the work order for the exploded items against which BOM is available.",如勾選，系統將為定義了物料清單的下層物料生成生產工單。
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.",如已創建銷售稅費模板，選一個，然後點下面的按鈕。
"Reselect, if the chosen address is edited after save",如所選地址保存後被修改請重新選擇
Prices will not be shown if Price List is not set,如未設定價格表，價格將不會顯示
Please set Company filter blank if Group By is 'Company',如果Group By是“Company”，請設定公司過濾條件空白
"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order",如果Shopify不包含訂單中的客戶，則在同步訂單時，系統會考慮默認客戶訂單
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.				",如果{0} {1}值得項目<b>{2}</b> ，則方案<b>{3}</b>將應用於該項目。
"Selling must be checked, if Applicable For is selected as {0}",如果“適用於”的值為{0}，則必須選擇“銷售”
Notify if unreplied for (in mins),如果一分鐘內未回復，則發出通知
"If unchecked, the item wont be appear in Sales Invoice, but can be used in group test creation. ",如果不勾選，該物料不會出現在銷售發票中，但可用於創建組測試。
"If disable, 'In Words' field will not be visible in any transaction",如果不顯示大寫金額，任何交易頁面都不會顯示大寫金額欄位
"If the user has any role checked,then the user becomes a ""System User"". ""System User"" has access to the desktop",如果為用戶分派了任何角色，則用戶就成為了“系統用戶”。 “系統用戶”可以訪問桌面
"If blank, parent Warehouse Account or company default will be considered",如果為空，則將考慮父倉庫科目戶或公司預設值
If non standard port (e.g. 587),如果為非標準埠（如587）
Import Sales Invoice from Shopify if Payment is marked,如果付款已標記，則從Shopify匯入銷售發票
You can not change rate if BOM mentioned agianst any item,如果任一物料關聯了BOM，你就不能更改其單價
"If you are uploading new records, leave the ""name"" (ID) column blank.",如果你在上傳新紀錄，那麼單據號(ID)列必須留空。
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.",如果你的操作是更新，請選擇“覆蓋”否則現有的行不會刪除。
"If your data is in HTML, please copy paste the exact HTML code with the tags.",如果你的資料是HTML，請複製黏貼的標籤準確的HTML代碼。
"If you think this is unauthorized, please change the Administrator password.",如果你認為這是未經授權的，請更改管理員密碼。
Check this if you are testing your payment using the Sandbox API,如果使用沙盒測試API付款，請勾選
Leave blank if the Supplier is blocked indefinitely,如果供應商被無限期凍結，請留空
"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，則適用
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.",如果幾條動態定價規則同時使用，系統將提醒用戶設定優先度。
"If checked, this field will be not overwritten based on Fetch From if a value already exists.",如勾選，僅在欄位值為空時從關聯單據獲取值，欄位有值則不覆蓋
"If checked, all other workflows become inactive.",如果勾選，本單據類型其他工作流將變為失效狀態。
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)",如果勾選，則新客戶將自動被分配該積分方案
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ",如果勾選，則此薪資構成項中指定或計算的值不影響收入或扣除。但是，其值可被其它新增或扣除薪資構成項引用。
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",如果勾選，將僅匯入有效資料，無效資料被保存在新文件中供稍後匯入。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果勾選，工作日總數將包含假期，“日工資”值會相應降低。
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果勾選，列印的單價/總額就含稅
If more than one package of the same type (for print),如果同類包裹超過一個
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth",如果啟用，從受限制IP位址登錄的用戶無需雙重驗證
"If enabled, changes to the document are tracked and shown in timeline",如果啟用，則會跟蹤對單據的更改並在時間軸中顯示
"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.",如果啟用，則在學期註冊工具中，學期欄位強制必填。
"If enabled, the document is marked as seen, the first time a user opens it",如果啟用，則在用戶第一次打開單據時將單據標記為已顯示
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.",如果啟用，密碼強度將根據最低密碼分數值執行。值2為中等強度，4為非常強。
"If enabled, changes to the document are tracked and shown in timeline",如果啟用，對單據的變更會被追蹤記錄，顯示在表單下方的日誌記錄裡
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page",如果啟用，所有用戶都可以使用雙因素身份驗證從任何IP位址登錄。這也可以只為用戶頁面中的特定用戶設定
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",如果啟用，用戶從任何IP位址登錄都需要雙重驗證，可以在系統設定中為所有用戶啟用雙重驗證
"If enabled, user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",如果啟用，用戶從任何IP位址登錄都需要雙重驗證，可以在系統設定中為所有用戶啟用雙重驗證
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",如果啟用，用戶每次登錄時都會收到通知。如果沒有啟用，用戶只會收到一次通知。
"If enabled, the document is marked as seen, the first time a user opens it",如果啟用，用戶第一次打開單據，系統就會記錄單據被查看過
"If enabled, document views are tracked, this can happen multiple times",如果啟用，系統會記錄單據被查看過多少次
"If enabled, the system will post accounting entries for inventory automatically.",如果啟用，系統將自動為庫存創建日記帳憑證。
Lead must be set if Opportunity is made from Lead,如果商機的來源是“線索”的話，必須指定線索
"If image is selected, color will be ignored.",如果圖像被選擇時，顏色將被忽略。
"To filter based on Party, select Party Type first",如果基於往來單位過濾，請先選擇往來類型
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",如果存在多個動態定價規則，則會用優先度來區分。優先度是介於0到20的數字，預設值是零（或留空）。數字越大，優先度越高。
Check this if the Student is residing at the Institute's Hostel.,如果學生住校，請勾選。
Create missing customer or supplier.,如果客戶或供應商不存在，則創建對應主資料
Set this if the customer is a Public Administration company.,如果客戶是公共管理公司，請設定此項。
If you don't want to create any new records while updating the older records.,如果您不想在更新舊紀錄時創建新紀錄。
"If you have any questions, please get back to us.",如果您有任何疑問，請再次與我們聯繫。
If you are updating/overwriting already created records.,如果您正在更新/覆蓋已經創建的紀錄。
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,如果您沒有使用自己的發布Google Apps Script webapp，您可以使用預設的https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec
You can only renew if your membership expires within 30 days,如果您的會員資格在30天內到期，您只能續訂
"Reselect, if the chosen contact is edited after save",如所選聯絡人在保存後被修改請重新選擇
"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.",如果按批號創建班級，會校驗是否在課程分類註冊時註冊了該批號。
Leave unchecked if you don't want to consider batch while making course based groups. ,如果按課程分組(班)時不考慮批（號），請不要勾選。
Send alert if date matches this field's value,如果日期匹配該欄位的值則發送預警通知
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未勾選，需手動將此禁止休假日表新增到部門。
Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,如果未在醫生執業者中設定預約費用，則使用默認收入帳戶。
Default receivable accounts to be used if not set in Patient to book Appointment charges.,如果未在患者中設定預約費用，則使用默認應收帳戶。
"If not set, the currency precision will depend on number format",如果未設定，則貨幣精度將取決於數位格式
If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed',如果條件滿足，用戶將獲得能量點獎勵。例如。 doc.status ==&#39;已關閉&#39;
